code,question,year,paper,topic1,subtopic1,topic2,subtopic2,topic3,subtopic3,graph?,word_prob?
62,When a grating with $ 300$ lines per millimeters is illuminated normally with parallel beam of monochromatic light a second order principal maximum is observed at $ 18.9^{\circ}$ to the straight through direction. Find the wavelength of the light.,2017,2,Vibrations and Waves,Physical Optics (interferance/diffraction/polarization),.,.,.,.,0,0
63,A white light fall on a slit of width ‘a’: for what value of 'a' will be the first minimum of light falling at the angle of $ 30^{\circ}$ when the wavelength of light is $ 6500$ nm? ,2017,2,Vibrations and Waves,Physical Optics (interferance/diffraction/polarization),.,.,.,.,0,0
64,A steel rod of length $ 0.60$ m and cross-sectional area $ 2.5 \times 10^{-5}$ m$ ^{2}$ at a temperature of $ 100^{\circ}$C is clamped so that when it cools was unable to contract. Find the tension in the rod when it has cooled to $ 20^{\circ}$C. ,2017,2,Properties of Matter,Elasticity,.,.,.,.,0,0
65,A spring $ 60$ cm long is stretched by $ 2$ cm for the application of load of $ 200$ g. What will be the length when a load of $ 500$ g is applied? ,2017,2,Properties of Matter,Elasticity,.,.,.,.,0,0
66,Calculate the percentage increase in length of a wire of diameter $ 2.2$ mm stretched by a load of $ 100$ kg. ( Young's modulus of wire is $ 12.5 \times 10^{10}$ N$/$m$ ^{2})$,2017,2,Properties of Matter,Elasticity,.,.,.,.,0,0
67,Define the terms capacitance and electric potential. ,2017,2,Electrostatics,Electric Potential,Electrostatics,Capacitance,.,.,0,1
68,The capacitance $ C$ of a capacitor ts full charged by a $ 200$ V battery. It is then discharged through a small coil of resistance wire embedded in a thermally insulated block of specific heat capacity $ 2.5 \times 10^{2}$ J$/$kgK and of mass of $ 0.1$ kg.  If the temperature of the block rises by $ 0.4$ K. what is the value of $ C$ ?,2017,2,Heat,First Law of Thermodynamics,Electrostatics,Capacitance,.,.,0,0
69,"A parallel plate capacitor has plates each of area $ 0.24$ m$ ^{2}$ separated by a small distance
$ 0.50$ mm. If the capacitor is full charged by a battery of electromotive force of $ 24$ V, calculate:
(i) the capacitance of the capacitor. 
(ii) the energy stared tn the capacitor. ",2017,2,Electrostatics,Capacitance,.,.,.,.,0,0
06A,"Comment on the assertion that, the safest way of protecting yourself from lightning is to be inside a car. ",2017,2,Electrostatics,Capacitance,.,.,.,.,0,1
06B,"Find the total potential energy of the system of point charges shown in the Figure below.
### insert Figure here ###",2017,2,Electrostatics,The Electric Field,.,.,.,.,1,1
06C,Define tensile stress and tensile strain. ,2017,2,Properties of Matter,Elasticity,.,.,.,.,0,1
06D,Calculate the work done in a stretching copper wire of $ 100$ cm long and $ 0.03 $ cm$ ^{2}$ cross — sectional area when a load of $ 120$ N is applied. ,2017,2,Properties of Matter,Elasticity,.,.,.,.,0,0
06E,Mention any two factors on which modulus of elasticity of a material depends.,2017,2,Properties of Matter,Elasticity,.,.,.,.,0,1
06F,"A traffic light is suspended with two steel wires of equal lengths and radii of $ 0.5$ cm. If the wires make an angle of $ 15^{\circ}$ with the horizontal, what is the fractional increase in their length due to the weight of the light? ",2017,2,Mechanics,Newton’s Laws of Motion,.,.,.,.,0,0
06G,"Define free surface energy in relation to the quid surface.
 
Explain what will happen if two bubbles of unequal radii are joined by a tube without bursting. ",2017,2,Properties of Matter,Surface Tension,.,.,.,.,0,1
06H,A spherical drop of mercury of radius $ 5$ mm falls on the ground and breaks into $ 1000$ droplets. Calculate the work done in breaking the drop. ,2017,2,Properties of Matter,Surface Tension,.,.,.,.,0,0
06I,"What is meant by the following?
(i) Atomic Mass Unit (a.m.u.)
(ii) Binding energy. 
(iii) Mass defect",2017,2,Atomic Physics,Nuclear Physics,.,.,.,.,0,1
06J,"Calculate the binding energy per nucleon fur phosphorus ### insert chem stuff here ### given that,
HERETOO $ P=30.97376$ a.m.u. and HERETOO $ H=1.00782$ a.m.u.",2017,2,Atomic Physics,Nuclear Physics,.,.,.,.,1,0
06K,"It is observed that thorium nucleus ### insert chem stuff here ###TH originally at rest decays to form a radium nucleus HERETOO $ R$ , $ \alpha -$ particle and $ \gamma $ — rays.",2017,2,Atomic Physics,Nuclear Physics,.,.,.,.,1,0
06L,Write down the equation for the disintegration.,2017,2,Atomic Physics,Nuclear Physics,.,.,.,.,0,1
06M,"Determine the energy of the $ \gamma -$ ray, if the $ \alpha $ —particle is emitted with energy of $ 2.38$ MeV. Given that rest mass of ### insert chem stuff here ### Th $ =226.0249$ a.m.u. , HERETOO Ra $ =222.0154$ a.m.u. and $ \alpha -$ particle $ =4.0026$ a.m.u. ",2017,2,Atomic Physics,Nuclear Physics,.,.,.,.,1,0
06N,"When $ 6$ nucleus of deuterium (hydrogen-$ 2$ ) fuses with a nucleus of tritium (hydrogen-$ 3$ ) to helium nucleus and a neutron, $ 288 \times 10^{-12}$ J of energy is released. The equation for the reaction is represented as ### insert chem stuff here ###. Calculate the mass of helium nucleus produced. ",2017,2,Atomic Physics,Nuclear Physics,.,.,.,.,1,0
06O,State the law of force acting on a conductor of length $ l$ carrying an electric current in a magnetic field. ,2017,2,Electromagnetism,Magnetic Forces,.,.,.,.,0,0
06P,Draw the diagram of the solenoid with certain number of tums placed in the magnetic field and indicate any suitable directions of the flow of current in it.,2017,2,Electromagnetism,Magnetic Fields,.,.,.,.,0,1
06Q,Write down the formula for the magnetic field induced at the centre of solenoid. ,2017,2,Electromagnetism,Magnetic Fields,.,.,.,.,0,1
06R,"It is desired to design a solenoid that produces a magnetic field of $ 0.1$ T at the centre. If the radius of solenoid is $ 5$ cm, its length is $ 50$ cm and carries a current of $ 10$ A; Calculate:
(i) The number of turns per unit length of the solenoid. 
(ii) The total length of a wire required. ",2017,2,Electromagnetism,Magnetic Fields,.,.,.,.,0,0
06S,State the Biot-Savart law. ,2017,2,Electromagnetism,Magnetic Fields,.,.,.,.,0,1
06T,"In a hydrogen atom, an electron keeps moving around its nucleus with a constant speed of $ 2.18 \times 10^{6}$ m$/$s. Assuming that the orbit is a circular of radius $ 5.3 \times 10^{-11}$ m. determine the magnetic flux density produced at the site of the proton in the nucleus. ",2017,2,Electromagnetism,Magnetic Fields,.,.,.,.,0,0
06U,"Use the Rydberg constant, $ R_{H}=1.0974 \times 10^{7}$ m$ ^{-1}$ to calculate the shortest wavelength of the Balmer series. ",2017,2,Atomic Physics,Structure of the Atom,.,.,.,.,0,0
06V,"Use the Bohr's theory for hydrogen atom to determine the:
(i) Radius of the first orbit of the hydrogen atom in A units. 
(ii) Velocity of the electron in the first orbit. ",2017,2,Atomic Physics,Structure of the Atom,.,.,.,.,0,1
06W,What is ionization potential of an atom?,2017,2,Atomic Physics,Structure of the Atom,.,.,.,.,0,1
06X,Show that the ionization potential of hydrogen is $ 13.6$ eV. ,2017,2,Atomic Physics,Structure of the Atom,.,.,.,.,0,0
06Y,How can you account for the chemical behavior of atoms on the basis of the atomic electrons and shells? ,2017,2,Atomic Physics,Structure of the Atom,.,.,.,.,0,1
06Z,"How can you account for the chemical behavior of atoms on the basis of the atomic electrons and shells? 
",2017,2,Atomic Physics,Structure of the Atom,.,.,.,.,0,1
70,"Give the meaning of the following terms as used in error analysis:
(i) Absolute error. 
(ii) Relative error. ",2017,1,Measurement,Errors,.,.,.,.,0,1
71,"The force ‘$ F$ ’ acting on an object of mass ‘$ m$ ’, travelling at velocity ‘v’ in a circle of radius ‘$ r$ ’ is given by: $ F= \frac{mv^{2}}{r}$ If the measurements are recorded as: $ m=(3.5 \pm 0.1)$ kg, $ V=(20\pm 1)$ m$/$s, $ r=(12.5\pm 0.5)m$ ; find the maximum possible
(i) Fractional error. 
(ii) Percentage error in the measurement of force.
(iii) Show how you will record the reading of force, ‘$ F$ ’ in the question above. ",2017,1,Measurement,Errors,.,.,.,.,0,0
72,Define the term dimensions of a physical quantity. ,2017,1,Measurement,Physical Quantities,.,.,.,.,0,1
73,Identify two uses of dimensional equations.,2017,1,Measurement,Physical Quantities,.,.,.,.,0,1
74,What is the basic requirement for a physical relation to be correct? ,2017,1,Measurement,Physical Quantities,.,.,.,.,0,1
75,List two quantities whose dimension is [ $ ML^{2}T^{-1}$ ],2017,1,Measurement,Physical Quantities,.,.,.,.,0,0
76,"The frequency ‘$ f$ ’ of vibration of a stretched string depends on the tension ‘$ F$ ’, the length ‘$ l$ ’ and the mass per unit length $ $ $\mu$of the string. Derive the formula relating the physical quantities by the method of dimensions. ",2017,1,Measurement,Physical Quantities,.,.,.,.,0,0
77,"Use dimensional analysis to prove the correctness of the relation, $ \rho = \frac{3g}{4 \pi RG}$ where by $ \rho =$ density of the earth, $ g=$ acceleration due to gravity, $ R=$ radius of the earth and $ G=$ gravitational constant.",2017,1,Measurement,Physical Quantities,.,.,.,.,0,0
78,Why does the kinetic energy of an earth satellite change in the elliptical orbit?,2017,1,Mechanics,Gravitation,.,.,.,.,0,1
79,Give two factors which determine whether a planet has an atmosphere or not.,2017,1,Environmental Physics,.,.,.,.,.,0,1
07A,"A space craft is launched from the earth to the moon, If the mass of the earth is $ 81$ times that of the moon and the distance from the centre of the earth to that of the moon is about $ 4.0 \times 10^{5}$ km;
(i) Draw a sketch showing how the gravitational force on the spacecraft varies during its journey. 
(ii) Calculate the distance from the centre of the earth where the resultant gravitational force becomes zero. ",2017,1,Mechanics,Gravitation,.,.,.,.,0,0
07B,"Justify the statement that ‘If no external torque acts on a body, its angular velocity will not conserved.",2017,1,Mechanics,Rotation of Rigid Bodies,.,.,.,.,0,1
07C,"A car is moving with a speed of $ 30$ m$/$s on a circular track of radius $ 500$ m. If its speed is increasing at the rate of $ 2$ m$/$s, find its resultant linear acceleration.",2017,1,Mechanics,Uniform Circular Motion,.,.,.,.,0,0
07D,"An object of mass $ 1$ kg is attached to the lower end of a string $ 1$ m long whose upper end is fixed and made to rotate in a horizontal circle of radius $ 0.6$ m. If the circular speed of the mass is constant, find the:
(i) Tension in the string. 
(ii) Period of motion. ",2017,1,Mechanics,Uniform Circular Motion,.,.,.,.,0,0
07E,"A $ 75$ kg hunter fires a bullet of mass $ 10$ g with a velocity of $ 400$ m$/$s from a gun of mass $ 5$ kg. Calculate the:
(i) Recoil velocity of the gun. 
(ii) Velocity acquired by the hunter during firing.",2017,1,Mechanics,Newton’s Laws of Motion,.,.,.,.,0,0
07F,"A jumbo jet traveling horizontally at $ 50$ m$/$s at a height of $ 500$ m from sea level drops a luggage of food to a disaster area.
(i) At what horizontal distance from the target should the luggage be dropped?
(ii) Find the velocity of the luggage as it hit the ground. ",2017,1,Mechanics,Projectile Motion,.,.,.,.,0,0
07G,"The equation of simple harmonic motion is given as $ x=6 \sin(10\pi t)+8 \sin(10\pi t)$ , where $ x$ is in centimeters and $ t$ in seconds. Determine the:
(i) Amplitude 
(ii) Initial phase of motion. ",2017,1,Mechanics,Simple Harmonic Motion,.,.,.,.,0,0
07H,Show that the total energy of a body executing simple harmonic motion is independent of time. ,2017,1,Mechanics,Simple Harmonic Motion,.,.,.,.,0,1
07I,Find the periodic time of a cubical body of side $ 0.2$ m and mass $ 0.004$ kg floating in water then pressed and released such that it oscillates vertically. ,2017,1,Mechanics,Simple Harmonic Motion,.,.,.,.,0,0
07J,Give a common example of adiabatic process. ,2017,1,Heat,First Law of Thermodynamics,.,.,.,.,0,1
07K,What happens to the internal energy of a gas during adiabatic expansion?,2017,1,Heat,First Law of Thermodynamics,.,.,.,.,0,1
07L,"A mass of an ideal gas of volume $ 400$ cm$ ^{3}$ at $ 288$ K expands adiabatically. If its temperature falls to $ 273$ K;
(i) Find the new volume of the gas. 
(ii) Calculate the final volume of the gas if it is then compressed isothermally until the pressure returns to its original value.",2017,1,Heat,First Law of Thermodynamics,.,.,.,.,0,0
07M,"State the following according to heat exchange:
(i)  Prevost’s theory. 
(ii) Wien's displacement law.",2017,1,Heat,Thermal Radiation,.,.,.,.,0,1
07N,"Briefly explain why:
(i) Steam pipes are wrapped with insulating materials?
(ii) Stainless steel cooking pans fitted with extra copper at the bottom are more preferred?",2017,1,Heat,First Law of Thermodynamics,.,.,.,.,0,1
07O,"The value of the property $ X$ of a certain substance Is given by $ X_{\theta}=X_{0}+0.5\theta +2\times 10^{-4}\theta ^{2}$  , Where $ \theta $ is the temperature in degree Celsius. What would be the Celsius temperature defined by the property $ X$ which corresponds to a temperature of $ 50^{\circ}$C on this gas thermometer scale? ",2017,1,Heat,Thermometers,.,.,.,.,0,0
07P,What is the advantage of using a greater length of potentiometer wire?,2017,1,Current Electricity,Electric Conduction in Metals,.,.,.,.,0,1
07Q,Why is Wheatstone bridge not suitable for measuring very high resistance?,2017,1,Current Electricity,Electric Conduction in Metals,.,.,.,.,0,1
07R,"Study the circuit diagram below, then answer the questions that follow:
### Insert diagram here ###
If the value of $ R_{1}=R_{2}=R_{3}=R_{4}=1.0\Omega $ , $ R_{5}=2\Omega $ , $ E_{2}=E_{3}=4$ V, $ E_{1}=2.0$ V, calculate the:
(i) Current flowing through the circuit.
(ii) Potential difference. $ V_{ab}$ ",2017,1,Current Electricity,Electric Conduction in Metals,.,.,.,.,1,0
07S,List two factors on which the resistivity of a material depends. ,2017,1,Current Electricity,Electric Conduction in Metals,.,.,.,.,0,1
07T,"A wire of resistivity, $ \rho $ , is stretched to double its length. What will be its new resistivity? Give reason for your answer. ",2017,1,Current Electricity,Electric Conduction in Metals,.,.,.,.,0,0
07U,Why a high voltage supply should have high internal resistance?,2017,1,Current Electricity,Electric Conduction in Metals,.,.,.,.,0,1
07V,Justify the statement that ‘it is not possible to verify Ohm's law by using a filament lamp’.,2017,1,Current Electricity,Electric Conduction in Metals,.,.,.,.,0,1
07W,"A potential difference of $ 4$ V is connected to $ 4$ uniform resistance wire of length $ 3.0$ m and cross-sectional area $ 9\times 10^{-9}$ , when a current of $ 0.2$ A is flowing in the wire. Find the:
(i) Resistivity of the wire.
(ii) Conductivity of the wire. ",2017,1,Current Electricity,Electric Conduction in Metals,.,.,.,.,0,0
07X,"Briefly explain the function of the following:
(i) Oscilloscope
(ii) Op-amps",2017,1,Electronics,Operational Amplifiers,.,.,.,.,0,1
07Y,"Study the Figure below then construct a truth table showing the output $ P$ , $ Q$ and $ R$ .
### Insert figure here ###",2017,1,Electronics,Logic Gates,.,.,.,.,1,0
07Z,List three basic elements of communication system. ,2017,1,Electronics,Telecommunication,.,.,.,.,0,1
80,Explain the advantage of using optical fibre systems instead of coaxial cable systems in telecommunication processes.,2017,1,Vibrations and Waves,Physical Optics (interferance/diffraction/polarization),Electronics,Telecommunication,.,.,0,1
81,"Define the term semiconductor.
Give three examples of semiconductor materials. ",2017,1,Electronics,Semiconductors,.,.,.,.,0,1
82,Outline two factors on which electrical conductivity of a pure semiconductor depends. ,2017,1,Electronics,Semiconductors,.,.,.,.,0,1
83,How does the forbidden energy gap of an intrinsic semiconductor vary with increase in temperature? ,2017,1,Electronics,The Band Theory of Solids,Electronics,Semiconductors,.,.,0,1
84,"The figure below is a circuit diagram containing an ideal diode.
### Insert figure here ###
Calculate:
(i) The peak voltage. 
(ii) The period. ",2017,1,Electronics,Semiconductors,.,.,.,.,1,1
85,"Explain the meaning of the following terms:
(i) $ P-$ type semiconductor.
(i) $ N-$ type semiconductor. ",2017,1,Electronics,Semiconductors,.,.,.,.,0,0
86,List three types of transistor configurations.,2017,1,Electronics,Transistors,.,.,.,.,0,1
87,Why is collector of a transistor made wider than emitter and base? ,2017,1,Electronics,Transistors,.,.,.,.,0,1
88,"A change of $ 100$ A in the base current produces a change of $ 3$ mA in the collector current. Calculate:
(i) The current amplification factor, $ \beta$
(ii) The current gain, $ \alpha $",2017,1,Electronics,Operational Amplifiers,.,.,.,.,0,0
89,State three sources of heat energy within the interior of the earth. ,2017,1,Environmental Physics,.,.,.,.,.,0,1
08A,Discuss two advantages of windbreaks to plant environment. ,2017,1,Environmental Physics,Agricultural Physics,.,.,.,.,0,1
08B,"Briefly explain the major causes of the following types of environmental pollution:
(i) Water pollution. 
(ii)  Air pollution.
",2017,1,Environmental Physics,Environmental Pollution,.,.,.,.,0,1
08C,What is the difference between degree of accuracy and precision.,2013,1,Measurement,Errors,.,.,.,.,0,1
08D,"In an experiment to determine Young's modulus of a wooden material the following measurements were recorded:
length $ l=80.0\pm 0.05$ cm 
breadth $ b=28.65\pm 0.03$ mm
thickness $ t=6.40\pm 0.03$ mm and
slope $ G=0.035\pm 0.001$ cm/gm
Given that the Young’s modulus $ Y$ is given by:
$ Y=(4/Gb)(l/t)^{3}$
Calculate the maximum percentage error in the value of $ Y$ .",2013,1,Measurement,Errors,Properties of Matter,Elasticity,.,.,0,0
08E,"Using the method of dimensions, indicate which of the following equations are dimensionally correct and which are not, given that, $ f=$ frequency, $ \gamma =$ surface tension, $ \rho =$ density, $ r=$ radius and $ k=$ dimensionless constant.
(i)  $ \rho^{2}=k\sqrt{r^{3}f/\gamma }$
(ii)  $ f=(kr^{3}\sqrt{\gamma })/(\rho^{1/2})$
(iii)  $ f=(k\gamma^{1/2})/(\sqrt{\rho}r^{3/2})$",2013,1,Properties of Matter,Surface Tension,.,.,.,.,0,0
08F,List down two main assumptions in deriving the equation of projectile motion.,2013,1,Mechanics,Projectile Motion,.,.,.,.,0,1
08G,Why the horizontal motion of a projectile constant? ,2013,1,Mechanics,Projectile Motion,.,.,.,.,0,1
08H,"A ball is thrown horizontally with a speed of $ 14.0$ m$/$s from a point $ 6.4$ m above the ground, calculate:
(i) The horizontal distance traveled in that time.
(ii) Its velocity when it reaches the ground.",2013,1,Mechanics,Projectile Motion,.,.,.,.,0,0
08I,"A man stands in a lift which is being accelerated upwards at $ 3.2$ m$/$s$ ^{2}$ . If the man has a mass of $ 65$ kg, what is the net force exerted on the man by the floor of the lift?",2013,1,Mechanics,Newton’s Laws of Motion,.,.,.,.,0,0
08J,Why is it technically advised to bank a road at corners?,2013,1,Mechanics,Uniform Circular Motion,.,.,.,.,0,1
08K,A wheel rotates at a constant rate of $ 10$ revolutions per second. Calculate the centripetal acceleration at a distance of $ 0.80$ m from the centre of the wheel.,2013,1,Mechanics,Uniform Circular Motion,.,.,.,.,0,0
08L,"With the aid of a labeled diagram, sketch the possible orbits for a satellite launched from the earth.
From the diagram above, write down an expression for the velocity of a satellite corresponding to each orbit.",2013,1,Mechanics,Gravitation,.,.,.,.,0,1
08M,Distinguish surface tension from surface energy.,2013,1,Properties of Matter,Surface Tension,.,.,.,.,0,1
08N,Explain the phenomenon of surface tension in terms of the molecular theory.,2013,1,Properties of Matter,Surface Tension,.,.,.,.,0,1
08O,"A clean open ended glass U-tube has vertical limbs one of which has a uniform internal diameter of $ 4.0$ mm and the other of $ 20.0$ mm. Mercury is poured into the tube; and observed that the height of mercury column in the two limbs ts different.
Explain this observation
Calculate the difference in levels",2013,1,Properties of Matter,Surface Tension,.,.,.,.,0,0
08P,"Name the temperature of a thermocouple at which the thermo,
(i) e.m.f. changes its sign.
(ii) electric power becomes zero.",2013,1,Heat,Thermometers,.,.,.,.,0,1
08Q,A person sitting on a bench on a calm hot summer day is aware of a cool breeze blowing from the sea. Briefly explain why there is a natural convection?,2013,1,Heat,Thermal Convection,.,.,.,.,0,1
08R,"A Nichrome-coustantan thermocouple gives about $ 70$ $\mu$V for each $ 1^{\circ}$C difference in temperature between the junctions. If $ 100$ such thermocouples are made into a thermopile, what voltage is produced when the junctions are at $ 20^{\circ}$C and $ 240^{\circ}$C? ",2013,1,Heat,Thermometers,.,.,.,.,0,0
08S,A black body of temperature $ \theta $ is placed in a blackened enclosure maintained at a temperature of $ 100^{\circ}$C. When its temperature rises to $ 30^{\circ}$C the net rate of loss of energy from the body was found to be $ 10$ Watts. Find the power generated by the body at $ 50^{\circ}$C if the energy exchange takes place solely by the process of forced convection.,2013,1,Heat,Thermal Radiation,.,.,.,.,0,0
08T,Compare the law governing the conduction of heat and electricity pointing out the corresponding quantities in each case.,2013,1,Heat,Thermal Conduction,.,.,.,.,0,1
08U,Write down three laws governing the black body radiation.,2013,1,Heat,Thermal Radiation,.,.,.,.,0,1
08V,A cup of tea kept in a room with temperature of $ 22^{\circ}$C cools from $ 66^{\circ}$C to $ 63^{\circ}$C in $ 1$ minute. How long will the same cup of tea take to cool from the temperature of $ 43^{\circ}$C to $ 40^{\circ}$C under the same condition?,2013,1,Heat,Thermal Convection,.,.,.,.,0,0
08W,"A Lagged copper rod is uniformly heated by a passage of an electric current. Show by considering a small section dx that the temperature $ \theta $ varies with distance $ x$ along a rod in a way that, $ k\frac{d^{2}T}{dx^{2}}=-H$ , where $ k$ is a thermal conductivity and $ H$ is the rate of heat generation per unit volume.",2013,1,Heat,Thermal Conduction,.,.,.,.,0,0
08X,Define the term standing wave.,2013,1,Vibrations and Waves,Wave Motion,.,.,.,.,0,1
08Y,State the position in a stationary wave where a man can hear a louder sound.,2013,1,Vibrations and Waves,Wave Motion,.,.,.,.,0,1
08Z,What is meant by dispersion of waves? ,2013,1,Vibrations and Waves,Mechanical Vibrations,.,.,.,.,0,1
90,Briefly explain if it is possible for dispersion to take place on a wave whose frequency lies in the audible range.,2013,1,Vibrations and Waves,Mechanical Vibrations,.,.,.,.,0,1
91,"A small speaker emitting $ 4$ note of frequency $ 250$ Hz is placed over the open upper end of a vertical tube which is full of water. When the water is gradually run out of the tube the air column resonates. If the initial and final position of the water surface below the top are $ 0.31$ m and $ 0.998$ m respectively, calculate the speed of sound in air and the end-correction of the tube. ",2013,1,Vibrations and Waves,Sound,.,.,.,.,0,0
92,"What is meant by “power rating"" as regards to a resistor?
Mention two distinct velocities of an electron in a wire.",2013,1,.,.,.,.,.,.,0,1
93,A $ 20$ k$ \Omega$ resistor is to be connected across a potential difference of $ 300$ V Calculate the required power rating.,2013,1,.,.,.,.,.,.,0,0
94,"Explain the following observation:
(i) Light in the bulb comes on once the switch is kept on despite the drift velocity of electrons being very low.
(ii) The potentiometer is said to be a better device for measuring the potential difference (p.d) than a moving coil voltmeter.",2013,1,Current Electricity,Electric Conduction in Gases,.,.,.,.,0,1
95,State the laws of electromagnetic induction.,2013,1,.,.,.,.,.,.,0,1
96,Mention the factors which determine the magnitude and direction of the force experienced by a current-carrying conductor in a magnetic field.,2013,1,Electromagnetism,Magnetic Fields,.,.,.,.,0,1
97,Derive the formula for the torque acting of the rectangular current-carrying coil in a magnetic field,2013,1,Electromagnetism,Magnetic Forces,.,.,.,.,0,1
98,What is the maximum torque on a $ 400-$ turns circular coil of radius $ 0.75$ cm that carrying a current of $ 1.6$ mA and resides in a uniform magnetic field of $ 0.25$ T?,2013,1,Electromagnetism,Magnetic Fields,.,.,.,.,0,0
99,What is band theory?,2013,1,Electronics,The Band Theory of Solids,.,.,.,.,0,1
09A,How does the band theory explain electrical properties of solids?,2013,1,Electronics,The Band Theory of Solids,.,.,.,.,0,1
09B,"In an intrinsic semiconductor, the energy gap $ E_{g}=1.2$ eV, and its hole mobility is very much smaller than electron mobility which is Independent of temperature. Assuming that the temperature dependence of intrinsic carrier concentration, $ n_{i}$ is expressed as:
$ N_{i}=n_{o}$ exp$ (-E_{g}/(K_{B}T))$ , where $ n_{o}$ and $ K_{B}$ are constants, $ T$ is temperature and $ E_{g}$ is an energy equal to $ E_{q}/2$ .  
(i) What is the ratio between conductivity at $ 600$ K and that at $ 300$ K?
(ii) Comment on the result obtained above.",2013,1,Electronics,The Band Theory of Solids,Electronics,Semiconductors,.,.,0,0
09C,"Study the circuit in Figure $ 1$ below then answer the questions that follow:
### insert image here ###
(i) Determine the voltage drop across, $ R_{B2}$
(ii) Calculate the emitter current $ I_{E.}$
(iii) State the assumption taken to obtain the answer in (ii) above. ",2013,1,Current Electricity,Alternating Current (ac),.,.,.,.,1,0
09D,Describe Coulomb’s law and give the dimensions of each quantity.,2013,1,Electrostatics,The Electric Field,.,.,.,.,0,1
09E,Brielfly explain how you can demonstrate that there are two types of charges in nature.,2013,1,Electromagnetism,Magnetic Fields,.,.,.,.,0,1
09F,Define electric potential.,2013,1,Electrostatics,Electric Potential,.,.,.,.,0,1
09G,"A radioactive source in the form of metallic sphere of radius $ 1.0$ cm emits Beta particles at the rate of $ 5.0 \times 10^{10}$ particles per second.  If the source is electrically insulated, how long will it take for its electric potential to be raised by $ 2.0$ V? (assuming that $ 40\%$ of the emitted Beta-particles escape the source).",2013,1,Electrostatics,Electric Potential,.,.,.,.,0,0
09H,What is an electron microscope? ,2013,1,.,.,.,.,.,.,0,1
09I,Outline three disadvantages of electron microscope.,2013,1,.,.,.,.,.,.,0,1
09J,"Draw a schematic diagram of an electron microscope showing its main parts.
Give the order of resolution of electron microscope in the question above.",2013,1,.,.,.,.,.,.,0,1
09K,Briefly explain why Cathode Ray Oscilloscope (C.R.O.) is said to be an excellent instrument for measuring the emf ,2013,1,Electronics,Operational Amplifiers,.,.,.,.,0,1
09L,An electron gun fires electrons at the screen of a TV tube. The electrons start from rest and are accelerated through a potential difference of $ 30$ kV. What is the speed of impact of electrons on the screen of the picture tube?,2013,1,Electronics,Telecommunication,.,.,.,.,0,0
09M,"Give comment on the statement that, an electron suffers no force when it moves parallel to the magnetic field, $ B$ .",2013,1,Electromagnetism,Magnetic Forces,.,.,.,.,0,0
09N,A $ 10$ eV proton is circulating in a plane at right angles to a uniform magnetic field of magnetic flux density of $ 1.0,\times 10^{-4}$ Wb$/$m$ ^{2}$ Calculate the cyclotron frequency of a proton.,2013,1,Electromagnetism,Magnetic Fields,.,.,.,.,0
09O,"An oscilloscope Is used to measure the waveform across a $ 500\Omega$ resistor in an a.c. circuit as shown in the figure below. Given that the time base of the oscilloscope is set at $ 5$ ms/cm, its $ Y-$ gain at $ 0.5$ V$/$cm and the grid has squares of $ 1.0$ cm, calculate:
(i)  the period and the frequency.
(ii) the peak voltage and the r.m.s. voltage.
(iii) the r.m.s. current through the resistor.
(iv) the mean power dissipated in the resistor.
### insert graph here ###",2013,1,Current Electricity,Alternating Current (ac),.,.,.,.,1,0
09P,The main interior of the earth (core) is believed to be in molten form. What seismic evidence supports this belief?,2013,1,Environmental Physics,Earthquakes,.,.,.,.,0,1
09Q,Explain why the small ozone layer on the top of the stratosphere is crucial for human survival,2013,1,Environmental Physics,.,.,.,.,.,0,1
09R,"Electrical properties of the atmosphere are significantly exhibited in the ionosphere.
(i)  What is the layer composed of and what do you think is the origin of such constituents.
(ii)  Mention two uses of the ionosphere.",2013,1,Environmental Physics,.,.,.,.,.,0,1
09S,Briefly explain why long distance radio broadcasts make use of short wave bands.,2013,1,Electronics,Telecommunication,.,.,.,.,0,1
09T,"Briefly explain on the following types of environmental pollution:
(i)  Thermal pollution.
(ii)  Water pollution.",2013,1,Environmental Physics,Environmental Pollution,.,.,.,.,0,1
09U,"Describe the soil temperature with regard to agricultural physics which causes lower crop growth at a particular area.
",2013,1,Environmental Physics,.,.,.,.,.,0,1
09V,"Distinguish between static pressure, dynamic pressure and total pressure when applied to streamline or laminar fluid flow and write down expression at a point in the fluid in terms of the fluid velocity v, the fluid density $ \rho $ , pressure $ P$ and the height $ h$ , of the point with respect to a datum.  ",2016,2,Fluid Dynamics,Bernoulli's Principle,.,.,.,.,0,0
09W,"The static pressure in a horizontal pipeline is $ 4.3 \times 10^{4}$ Pa, the total pressure is $ 4.7 \times 10^{4}$ Pa and the area of cross-section is $ 20 $ cm$ ^{2}$ . The fluid may be considered to be incompressible and non-viscous and has a density of $ 1000$ kg$/$m$ ^{3}$ .  Calculate the flow velocity and the volume flow rate in the pipeline.",2016,2,Fluid Dynamics,Bernoulli's Principle,.,.,.,.,0,0
09X,State Newton’s law of viscosity and hence deduce the dimensions of the coefficient of viscosity.,2016,2,Fluid Dynamics,Viscosity and Turbulent Flow,.,.,.,.,0,1
